drive,A0,A1
0,0,726
5,0,725
10,0,725
15,0,725
20,0,724
25,0,702
30,0,671
35,8,658
40,18,652
45,31,647
50,42,644
55,55,641
60,68,639
65,81,637
70,93,635
75,107,634
80,119,632
85,133,630
90,145,629
95,159,628
100,171,627
105,185,625
110,197,624
115,211,623
120,224,622
125,237,621
130,250,620
135,263,619
140,277,618
145,290,617
150,303,616
155,315,615
160,330,614
165,342,614
170,356,613
175,368,612
180,382,611
185,395,610
190,408,609
195,420,609
200,433,608
205,447,607
210,459,606
215,472,606
220,484,605
225,491,605
230,494,605
235,495,605
240,494,605
245,502,604
250,498,605
255,500,605
